1491947821393,enter
1491947821889,backspace
1491947825461,e
1491947827855,backspace
1491947845255,e
1491947845327,l
1491947845391,i
1491947845479,f
1491947846119,space
1491947847095,l
1491947847175,s
1491947847271,t
1491947848127,[
1491947848367,0
1491947848742,]
1491947849463,space
1491947849638,shift
1491947849728,<
1491947849990,space
1491947850479,l
1491947850559,s
1491947850631,t
1491947851463,[
1491947852030,1
1491947852136,]
1491947852526,shift
1491947852639,:
1491947853003,enter
1491947853415,r
1491947853487,e
1491947853622,t
1491947853694,u
1491947853823,r
1491947853927,n
1491947854039,space
1491947855487,l
1491947855551,s
1491947855623,t
1491947856350,[
1491947858768,1
1491947858879,]
1491947859318,shift
1491947859390,:
1491947859609,enter
1491947860473,backspace
1491947866081,shift
1491947866618,=
1491947868329,=
1491947868537,cmd
1491947868588,cmd-s
1491947869473,cmd
1491947869542,cmd-s
1491947869803,backspace
1491947870120,cmd
1491947870193,cmd-s
1491947873649,cmd
1491947873680,cmd-s
1491947893144,cmd
1491947893192,cmd-s
1491947893938,cmd
1491947894062,cmd-i
1491947903532,backspace
1491947903819,backspace
1491947904178,backspace
1491947904530,enter
1491947905176,cmd
1491947905222,cmd-s
1491947907465,cmd
1491947907575,cmd-i
1491947914452,backspace
1491947914983,cmd
1491947915012,cmd-s
1491947915976,cmd
1491947916152,cmd-i
1491947922644,enter
1491947922816,a
1491947923008,s
1491947923160,s
1491947923255,e
1491947923316,r
1491947923456,t
1491947923553,space
1491947923681,l
1491947923760,a
1491947923968,g
1491947924275,backspace
1491947924456,r
1491947924680,g
1491947924792,e
1491947924854,s
1491947924919,t
1491947925127,shift
1491947925217,shift-E
1491947925376,l
1491947925424,e
1491947925859,backspace
1491947926376,e
1491947926608,m
1491947926703,e
1491947926776,n
1491947926870,t
1491947927816,space
1491947928675,backspace
1491947928984,shift
1491947929057,(
1491947931869,backspace
1491947932972,backspace
1491947933624,[
1491947934087,0
1491947935200,,
1491947935368,4
1491947936416,]
1491947936647,shift
1491947936704,)
1491947937320,space
1491947938280,=
1491947938400,=
1491947938704,space
1491947940440,4
1491947940816,,
1491947941160,space
1491947941575,shift
1491947941689,"
1491947942152,l
1491947942223,a
1491947942271,r
1491947942440,g
1491947942519,e
1491947942583,s
1491947942648,t
1491947942783,shift
1491947942920,shift-E
1491947943040,l
1491947943111,e
1491947943240,m
1491947943303,e
1491947943408,n
1491947943487,t
1491947943576,space
1491947943658,o
1491947943721,f
1491947943783,space
1491947944495,[
1491947944744,0
1491947945015,,
1491947945234,4
1491947945488,]
1491947946959,space
1491947947087,f
1491947947152,a
1491947947249,i
1491947947320,l
1491947947384,e
1491947947472,d
1491947947559,shift
1491947947624,"
1491947947743,cmd
1491947947810,cmd-s
1491947950510,cmd
1491947950687,cmd-i
1491947977263,cmd
1491947977363,cmd-s
1491947983509,cmd
1491947984003,cmd-s
1491948082761,enter
1491948083099,up
1491948083896,tab
1491948084665,f
1491948084787,o
1491948084897,r
1491948085001,space
1491948085322,i
1491948085409,space
1491948087889,i
1491948087940,n
1491948088069,space
1491948088297,l
1491948088424,s
1491948088505,t
1491948089503,shift
1491948089681,:
1491948095146,tab
1491948096239,cmd
1491948096347,cmd-s
1491948111609,i
1491948112153,space
1491948112271,shift
1491948112377,+
1491948112504,space
1491948113497,1
1491948114415,cmd
1491948114508,cmd-s
1491948125745,i
1491948131968,i
1491948136829,backspace
1491948138492,backspace
1491948138769,l
1491948138841,a
1491948138905,s
1491948139001,t
1491948139409,[
1491948139762,i
1491948140057,]
1491948142187,l
1491948142321,s
1491948142412,t
1491948142705,[
1491948143266,i
1491948143680,shift
1491948143809,+
1491948144177,1
1491948144338,]
1491948145080,cmd
1491948145201,cmd-s
1491948147220,backspace
1491948147449,i
1491948152634,i
1491948155241,i
1491948155528,shift
1491948155618,+
1491948157731,cmd
1491948157862,cmd-s
1491948159960,cmd
1491948160038,cmd-s
1491948165808,cmd
1491948165861,cmd-s
1491948170064,cmd
1491948170184,cmd-i
1491948174431,backspace
1491948174776,cmd
1491948174836,cmd-s
1491948175648,cmd
1491948175713,cmd-i
1491948215416,enter
1491948215843,up
1491948216911,tab
1491948233236,backspace
1491948233796,backspace
1491948235065,cmd
1491948235106,cmd-s
1491948265419,l
1491948266219,a
1491948266308,s
1491948266627,backspace
1491948266783,backspace
1491948267163,s
1491948267267,t
1491948267401,[
1491948269734,backspace
1491948269971,]
1491948270275,shift
1491948270387,)
1491948270611,cmd
1491948270690,cmd-s
1491948273195,cmd
1491948273371,cmd-i
1491948303551,cmd
1491948303714,cmd-s
1491948304349,cmd
1491948304625,cmd-s
1491948357158,cmd
1491948357311,cmd-n
1491948417836,right
1491948418379,]
1491948418571,]
1491948419005,backspace
1491948419197,backspace
1491948419542,enter
1491948419998,enter
1491948420515,up
1491948420931,up
1491948421254,tab
1491948422931,m
1491948423051,a
1491948423635,x
