Time,Code,Notes
0:21,start,
0:29,code,
1:58,google,
2:31,code,
2:41,observer,unsolicited feedback
4:35,question,
5:33,google,
5:59,code,
6:27,observer,unsolicited feedback
7:05,pause,productive
7:45,question,
10:12,frustrated,
10:23,code,
12:05,local error,no
12:30,observer,unsolicited feedback
14:10,observer,unsolicited feedback
16:03,google,
17:29,code,
19:04,fail,
,,
