Time,Code,Notes
0:01,start,
0:27,code,
1:44,question,
3:03,indentation error,yes
5:30,test case,
6:29,large deletion,
8:25,question,
9:25,observer,unsolicited feedback
9:50,test case,
10:13,fail,
10:22,google,
11:14,pause,productive
12:02,question,
12:40,code,
13:04,google,
14:05,code,
15:40,google,
16:22,code,
,,
,,
