Time,Code,Notes
0:01,start,
0:20,code,
0:45,question,
1:49,pause,productive
2:05,code,
3:25,indentation error,yes
3:30,observer,types on computer
4:30,indentation error,yes
4:51,indentation error,yes
5:03,runtime error,yes
5:04,pause,productive
5:51,code,
6:30,pause,unproductive
8:30,code,
9:21,google,
10:49,code,
11:06,google,
12:10,test case,
12:50,frustrated,
13:39,question,
14:08,question,
14:25,test case,
15:23,runtime error,yes
17:24,invalid syntax error,yes
17:55,test case,
18:25,google,
19:01,question,
