Participant,Problem,Total Time,Time Typing,Time Paused,Max Pause,Code Ratio Third1,Code Ratio Third2,Code Ratio Third3,Deletions,maxPausePreDeletion,minTypingtoRunningTime,aveTypingtoRunningTime,minRunningtoTypingTime,aveRunningtoTypingTime,numTimesRun,numComments,Comment Lengths
Participant 1,keystrokes1.csv,10.841400000000009,3.156733333333334,6.7839833333333335,1.6459666666666666,0.5112359550561798,0.19101123595505617,0.29775280898876405,5,0.27208333333333334,0.065,0.13542857142857143,4.247,17.649285714285718,7,0,0
Participant 1,keystrokes2b.csv,24.159766666666677,10.451366666666667,13.636066666666666,1.8163833333333335,0.415,0.505,0.08,11,1.8163833333333335,0.049,0.15565625000000005,0.591,11.36816129032258,32,5,5
Participant 1,keystrokes3.csv,21.93428333333335,7.160116666666667,14.57578333333333,1.8539166666666667,0.5587188612099644,0.25622775800711745,0.18505338078291814,8,0.9600833333333334,0.039,0.1686923076923077,2.9,16.204384615384615,13,2,64
Participant 3,keystrokes1.csv,125.85181666666658,9.896083333333333,115.75736666666667,45.7374,0.8091603053435115,0.19083969465648856,0.0,27,2.6832333333333334,never ran code,0,never ran code,0,0,0,0
Participant 3,keystrokes2b.csv,57.54709999999998,0.8173499999999999,56.637299999999996,40.32398333333333,1.0,0.0,0.0,0,0.040850000000000004,never ran code,0,never ran code,0,0,1,16
Participant 3,keystrokes3.csv,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,never ran code,0,never ran code,0,0,0,0
Participant 4,keystrokes1.csv,18.471266666666672,8.013666666666666,10.243216666666667,2.5306166666666665,0.5037037037037037,0.37037037037037035,0.1259259259259259,13,1.5253,0.09,0.15550000000000003,2.903,24.270866666666663,16,6,263
Participant 4,keystrokes2.csv,23.246816666666668,10.929366666666668,12.31625,2.323516666666667,0.3951612903225806,0.42943548387096775,0.17540322580645162,22,2.323516666666667,never ran code,0,never ran code,0,0,9,496
Participant 4,keystrokes3.csv,42.125083333333365,13.056083333333335,29.066333333333336,18.333750000000002,0.8062015503875969,0.1937984496124031,0.0,15,0.67305,0.115,0.17759999999999998,2.592,123.20790000000002,10,6,516
Participant 5,keystrokes1.csv,25.979999999999976,5.771416666666666,20.208583333333333,2.3572833333333336,0.14772727272727273,0.6363636363636364,0.2159090909090909,5,2.3572833333333336,never ran code,0,never ran code,0,0,2,171
Participant 5,keystrokes2.csv,24.38251666666668,5.918850000000001,17.593866666666667,5.448383333333334,0.4573170731707317,0.5,0.042682926829268296,12,3.783333333333333,0.20700000000000002,0.20700000000000002,25.981,25.981,1,0,0
Participant 5,keystrokes3.csv,19.851616666666658,6.478033333333333,13.373583333333336,3.736083333333333,0.10747663551401869,0.5841121495327103,0.308411214953271,9,3.736083333333333,never ran code,0,never ran code,0,0,1,1
Participant 6,keystrokes1.csv,3.819650000000002,2.479833333333333,0.7945833333333333,0.5363,0.39737991266375544,0.462882096069869,0.13973799126637554,5,0.046533333333333336,0.331,0.331,inf,0,1,4,225
Participant 6,keystrokes3.csv,10.849616666666673,3.805,6.197900000000001,1.59545,0.5357142857142857,0.12605042016806722,0.3382352941176471,8,0.26689999999999997,0.441,0.441,inf,0,1,7,431
Participant 7,keystrokes1.csv,20.36944999999999,4.414066666666668,15.615566666666666,3.291,0.5448275862068965,0.296551724137931,0.15862068965517243,11,3.291,0.23700000000000002,0.6153333333333333,6.87,45.87945454545456,12,2,25
Participant 7,keystrokes2.csv,13.018866666666671,4.516333333333334,8.4149,2.206166666666667,0.6764705882352942,0.18627450980392157,0.13725490196078433,7,2.206166666666667,0.14100000000000001,0.28840000000000005,6.3020000000000005,30.353777777777776,10,1,16
Participant 7,keystrokes3.csv,23.430600000000023,3.7329000000000003,19.59916666666667,7.778366666666667,0.29457364341085274,0.0,0.7054263565891473,4,7.778366666666667,0.234,0.33499999999999996,6.179,89.94114285714285,8,0,0
