Time,Code,Notes
0:00,start,
0:35,code,
1:20,question,
1:22,pause,yes
2:00,question,
2:11,google,
3:13,observer,unsolicited feedback
3:37,question,
4:40,question,
6:15,code,
7:30,question,
10:09,question,
11:13,question,
12:10,breakthrough,
13:14,int object is not iterable error,yes
13:30,question,
13:31,google,
14:19,code,
14:44,fail,yes
15:10,test case,
15:15,fail,yes
15:35,question,
16:15,observer,unsolicited feedback
16:25,fail,no
17:55,fail,yes
19:00,success,
