Time,Code,Notes
0:20,start,
0:21,question,
1:00,code,
1:30,comment,
2:00,question,
4:00,frustrated,
4:30,observer,unsolicited feedback
4:45,test case,
4:46,question,
5:45,question,
6:15,observer,unsolicited feedback
6:31,test case,
7:29,invalid syntax error,yes
8:01,test case,
8:20,indentation error,yes
8:30,observer,fixing indentation errors
9:00,pause,yes
9:15,frustrated,
10:09,question,
11:45,code,
11:55,test case,
13:03,invalid syntax error,no
13:06,fail,
13:25,invalid syntax error,yes
13:41,fail,
13:47,fail,
15:11,test case,
15:12,fail,
15:30,fail,
15:35,test case,
15:58,observer,unsolicited feedback
16:45,frustrated,
17:28,test case,
17:31,success,
