Time,Code,Notes
0:20,pause,productive
0:30,comment,
1:00,pause,productive
1:14,comment,
1:21,pause,productive
2:30,comment,
2:33,pause,productive
3:55,question,
5:20,code,
6:30,pause,productive
7:20,comment,
7:23,pause,productive
8:32,code,
8:50,pause,productive
9:30,code,
10:20,pause,productive
11:17,code,
12:11,pause,productive
13:08,code,
14:30,pause,productive
15:00,code,
15:15,question,
15:50,google,
16:15,pause,productive
16:34,code,
16:35,fail,yes
16:50,observer,types on laptop
18:15,pause,not productive
18:30,code,
18:40,pause,not productive
19:02,code,
19:03,fail,yes
19:58,fail,yes
