Time,Code,Notes
0:05,start,
0:05,pause,productive
2:45,question,
3:40,code,
4:30,google,
4:37,code,
5:50,indentation error,yes
5:51,pause,unproductive
8:00,syntax change,
9:10,pause,unproductive
9:30,code,
9:50,fail,
10:00,observer,types on computer
10:55,pause,unproductive
12:03,google,
12:18,code,
12:23,pause,unproductive
13:00,fail,
13:10,observer,unsolicited feedback
15:56,code,
16:10,pause,productive
16:20,code,
16:30,success,
