Time,Code,Notes
0:05,start,
0:22,code,
1:12,frustration,
2:15,question,
2:57,question,
3:30,google,
4:40,pause,yes
4:50,observer,unsolicited feedback
5:47,question,
7:00,question,
7:30,observer,unsolicited feedback
7:50,code,
11:10,indentation error,yes
11:15,observer,typing on laptop
12:58,indentation error,yes
13:30,fail,yes
14:00,observer,typing on laptop
14:20,fail,yes
14:50,fail,yes
16:00,fail,yes
16:14,pause,
