Time,Code,Notes
0:20,start,
1:40,google,
2:44,code,
3:45,pause,productive
6:19,code,
7:06,google,
11:17,code,
12:10,google,
13:51,frustrated,
14:20,code,
14:50,google,
16:33,code,
18:35,google,
19:40,code,
19:45,indentation error,yes
20:02,indentation error,yes
,,
,,
,,
,,
