Time,Code,Notes
0:36,start,
1:40,code,
1:48,pause,productive
3:00,code,
3:10,pause,productive
3:41,code,
3:42,test case,
4:30,pause,productive
5:15,code,
5:22,invalid syntax error,yes
5:30,pause,unproductive
5:55,frustrated,
8:19,frustrated,
9:28,code,
9:30,large deletion,
9:31,pause,productive
13:05,code,
13:50,pause,productive
14:14,frustrated,
